22001,06,13,15,17,20,21,03,1079698248,4,10000000,83,389050,447434510,2022-01-02
21150,09,14,20,21,24,26,04,1022824601,37,5660828,239,127879,456402254,2021-12-30
21149,05,10,15,18,19,32,05,1140585301,8,7864325,103,278089,425925826,2021-12-28
21148,10,12,15,17,19,20,08,1117570138,8,7622855,175,149877,459686850,2021-12-26
21147,05,10,11,13,27,28,09,1099867308,13,6608176,194,134705,457370132,2021-12-23
21146,07,09,21,22,26,32,03,1107375000,6,9424198,103,322150,480619582,2021-12-21
21145,04,07,10,14,16,26,09,1064375720,10,7832457,159,222677,517254362,2021-12-19
21144,02,05,13,15,23,26,07,1036483149,5,9315997,172,156831,483556078,2021-12-16
21143,01,09,11,13,20,29,09,1002138181,41,5571480,158,185369,475857912,2021-12-14
21142,04,07,17,19,20,24,16,1142703731,8,8791842,227,167041,509166454,2021-12-12
21141,01,14,19,23,26,30,10,1099283201,7,8542650,132,234834,483132724,2021-12-09
21140,05,10,16,26,27,33,01,1066087178,20,6366303,694,49218,479975520,2021-12-07
21139,12,14,19,23,24,27,01,1090940461,14,7490724,193,225842,531219172,2021-12-05
21138,11,14,15,16,27,32,09,1065047563,20,5685347,123,139298,486491502,2021-12-02
21137,03,07,10,14,21,24,01,1127353431,19,6420588,274,123134,474456734,2021-11-30
21136,02,06,09,15,19,28,16,1148127692,10,7908192,319,113957,517068910,2021-11-28
21135,03,10,17,19,21,31,04,1118152404,1,10000000,124,303985,486663630,2021-11-25
21134,01,02,16,19,25,31,08,1015069784,11,7491866,109,314340,472467398,2021-11-23
21133,01,03,12,19,27,31,10,994690824,12,7465121,171,216238,511607016,2021-11-21
21132,01,04,06,14,20,28,08,973341811,6,7775391,171,121727,490071244,2021-11-18
21131,08,11,18,19,20,24,01,957547844,6,9453797,116,287961,465860738,2021-11-16
21130,08,09,15,24,26,30,06,914060182,12,6336861,155,129373,398037824,2021-11-14
21129,04,15,21,27,28,29,10,929943762,5,7512285,139,112962,365299936,2021-11-11
21128,05,17,20,21,23,33,04,920399839,3,10000000,66,369015,349441520,2021-11-09
21127,07,15,16,20,27,29,07,877334837,10,6816913,96,236577,365976552,2021-11-07
21126,19,20,23,27,28,31,01,877369730,6,8689696,90,307474,358964852,2021-11-04
21125,14,19,20,23,24,31,09,846489745,4,8898474,84,232052,354978672,2021-11-02
21124,01,03,18,22,29,32,02,823606529,8,7956250,117,252670,394848530,2021-10-31
21123,06,14,15,19,29,31,05,798569016,6,8473913,207,125866,366471258,2021-10-28
21122,04,05,12,15,18,28,07,771249437,5,8231591,91,221949,360872924,2021-10-26
21121,04,05,12,16,22,30,15,751815051,7,7721874,205,116177,390361524,2021-10-24
21120,01,07,08,12,13,18,05,734418962,40,5268563,496,27072,355518696,2021-10-21
21119,03,09,10,11,28,29,13,904876996,15,6354639,356,71346,356935346,2021-10-19
21118,02,06,14,18,20,31,13,923998119,6,8460209,126,205964,386079710,2021-10-17
21117,03,05,17,21,27,33,04,896904658,10,6782803,101,220644,358589610,2021-10-14
21116,06,14,17,18,31,33,06,897877549,3,10000000,46,552161,355338790,2021-10-12
21115,02,10,12,15,24,27,08,851679247,5,7857682,100,178605,380172848,2021-10-10
